Actual,ARIMA,SVR,RandomForest,RNN,GRU,LSTM
11190.02292,-2035.627830849981,8136.348682952192,11166.134880900001,11304.919,11389.367,11157.261
11401.95123,-2170.5384215368945,8173.899971516947,11406.384606000005,11391.691,11520.961,11385.481
11717.37336,-2304.0380264321193,8224.237646693158,11736.068797199994,11484.218,11642.906,11608.663
12040.0959,-2436.1414025751055,8269.023922406588,12111.093403499992,11601.238,11790.313,11835.763
12346.62498,-2566.863152666195,8305.483949709907,12331.496435999992,11823.993,11987.911,12066.284
12728.44278,-2696.2177266808676,8342.98798130062,12731.583704099992,12128.697,12238.957,12296.962
12945.36585,-2824.2194234670496,8360.569359953024,12964.718178300007,12502.269,12547.591,12544.697
13013.6502,-2950.8823923256805,8365.566513326688,13036.72185180001,12878.38,12882.924,12815.164
13235.03439,-3076.220634574777,8380.05417532088,13155.931586700004,13198.348,13191.778,13096.068
13887.83406,-3200.24800509715,8408.454576282915,13884.929999399983,13447.358,13461.383,13387.596
14221.12989,-3322.9782138719193,8415.386683684032,14202.655160700018,13683.729,13762.826,13705.594
14468.45946,-3444.42482749001,8417.516339635209,14477.883762899977,13925.724,14108.303,14037.598
14829.61017,-3564.6012706538054,8416.332461939433,14833.070418899977,14256.521,14470.016,14388.692
15127.02939,-3683.5208276611124,8411.785386459573,15159.214013699982,14624.577,14836.89,14749.713
15410.89431,-3801.1966438736076,8404.642425903901,15330.549929399993,14954.954,15196.097,15128.897
15914.09214,-3917.6417271699243,8385.762839232686,15904.646617799996,15296.174,15537.657,15511.545
16394.20056,-4032.8689493835427,8360.96624704705,16350.494554800009,15650.06,15889.775,15913.6875
16729.48092,-4146.891047725642,8340.055726750721,16746.586576200003,16006.279,16274.856,16346.614
16973.274960000002,-4259.720626193072,8323.119449260796,16937.304909000024,16390.576,16678.3,16800.523
17397.185729999997,-4371.370156961597,8290.418163561057,17393.141956200012,16784.373,17066.23,17259.29
17881.079850000002,-4481.851981764568,8248.418276149363,17846.844929400002,17146.895,17440.836,17712.016
18072.91641,-4591.178313257181,8230.494927927974,18100.76436419998,17500.918,17824.797,18152.602
18462.80175,-4699.36123636646,8192.025576733744,18467.307625199977,17826.945,18189.123,18563.986
18790.32729,-4806.412709627126,8157.765392505521,18760.452070799976,18170.29,18534.957,18961.29
18960.18762,-4912.344566503492,8139.362079310812,18990.05416649998,18473.324,18865.816,19341.773
