Date,Total Cases,Severe,Critical Cases,Total Deaths
11/26/2020,18451.85742,8786.59878,3067.15167,1226.86065
11/27/2020,18528.35106,8823.02433,3070.22898,1228.09158
11/28/2020,18533.58765,8825.517929999998,3067.99176,1227.19671
11/29/2020,18503.147790000003,8811.02277,3055.87137,1222.34853
11/30/2020,18246.92097,8689.01001,3010.3622100000002,1204.14489
12/1/2020,18221.95122,8677.119630000001,3004.94442,1201.97775
12/2/2020,18100.84221,8619.448680000001,2983.1870400000003,1193.27484
12/3/2020,18151.719810000002,8643.67611,2985.25695,1194.10278
12/4/2020,17838.09045,8494.32879,2926.51047,1170.6042
12/5/2020,17627.567219999997,8394.07962,2888.81229,1155.52491
12/6/2020,17503.635599999998,8335.064579999998,2863.73598,1145.49438
12/7/2020,17168.080049999997,8175.27621,2807.62551,1123.05021
12/8/2020,16967.02524,8079.53583,2775.4188599999998,1110.16755
12/9/2020,16811.69898,8005.570949999999,2748.28344,1099.31337
12/10/2020,16356.56451,7788.8402399999995,2668.2198,1067.28792
12/11/2020,15906.208050000001,7574.38479,2591.2839599999998,1036.5135599999999
12/12/2020,15742.030439999999,7496.204970000001,2561.6906099999997,1024.67625
12/13/2020,15327.01272,7298.57751,2487.02607,994.81041
12/14/2020,15036.681270000001,7160.32443,2435.75589,974.30238
12/15/2020,14563.09359,6934.80648,2358.90402,943.56159
12/16/2020,14295.046890000001,6807.16518,2315.37057,926.1482100000001
12/17/2020,13937.6652,6636.98343,2254.12257,901.6490100000001
12/18/2020,13558.52823,6456.44202,2190.5930399999997,876.23724
12/19/2020,13119.41631,6247.34109,2110.98378,844.3935000000001
12/20/2020,12799.87074,6095.17656,2055.10473,822.04188
12/21/2020,12237.03981,5827.16184,1962.96948,785.1878099999999
12/22/2020,11752.95393,5596.64472,1883.77488,753.5099399999999
12/23/2020,11563.86492,5506.602360000001,1853.78619,741.5144700000001
12/24/2020,11117.748599999999,5294.166,1783.93131,713.57253
12/25/2020,10777.923690000001,5132.34462,1728.98028,691.5921000000001
12/26/2020,10450.41486,4976.38803,1676.91429,670.76571
12/27/2020,10012.220130000002,4767.7239,1599.31758,639.72705
12/28/2020,9622.209719999999,4582.00464,1535.5180799999998,614.2072499999999
12/29/2020,9309.49344,4433.09211,1485.87765,594.35106
12/30/2020,8947.96332,4260.93492,1433.51898,573.40758
12/31/2020,8626.370640000001,4107.79554,1382.56761,553.0270499999999
1/1/2021,8154.97188,3883.31991,1305.70383,522.28152
1/2/2021,7645.211580000001,3640.57695,1219.6829400000001,487.87316999999996
1/3/2021,7382.8559399999995,3515.64567,1173.25143,469.30056
1/4/2021,7088.8430100000005,3375.63954,1124.8578,449.94312
1/5/2021,6908.901390000001,3289.9530600000003,1097.82447,439.12980000000005
1/6/2021,6762.055469999999,3220.02642,1076.09034,430.43616
1/7/2021,6364.03167,3030.49128,1015.21218,406.08489
1/8/2021,6070.047930000001,2890.49904,968.1351300000001,387.25404000000003
1/9/2021,5824.08588,2773.37421,927.1787099999999,370.87149
1/10/2021,5643.70233,2687.47731,895.4542200000001,358.1817
1/11/2021,5422.99353,2582.3778899999998,859.39368,343.75746000000004
1/12/2021,5164.46946,2459.2711499999996,820.72497,328.28997
1/13/2021,4888.92225,2328.0581999999995,782.08518,312.83406
1/14/2021,4634.2338899999995,2206.77804,742.49298,296.99721
1/15/2021,4437.56514,2113.12626,712.00398,284.80158
1/16/2021,4284.25266,2040.12033,684.92127,273.96852
1/17/2021,4187.81322,1994.1967799999998,668.00991,267.20397
1/18/2021,4017.66939,1913.1759,641.1887099999999,256.47549
1/19/2021,3845.3741999999997,1831.1305499999999,614.25183,245.70075
1/20/2021,3726.66666,1774.6031699999999,597.8651399999999,239.14608
1/21/2021,3597.78195,1713.2295,579.28269,231.71307000000002
1/22/2021,3431.4446399999997,1634.02128,552.61068,221.04429
1/23/2021,3354.78009,1597.51431,540.91176,216.36471
1/24/2021,3309.5768399999997,1575.98895,533.2573199999999,213.30293999999998
1/25/2021,3251.76984,1548.46182,526.35108,210.54045000000002
1/26/2021,3215.40546,1531.14546,522.52443,209.00976
1/27/2021,3136.65624,1493.64582,512.69514,205.07805
1/28/2021,3072.8330100000003,1463.25381,503.68728000000004,201.4749
1/29/2021,3014.6049599999997,1435.5261600000001,495.64707,198.25883999999996
1/30/2021,2952.0325199999997,1405.7298,486.63237000000004,194.65293
1/31/2021,2941.92618,1400.91723,484.90341,193.96137
2/1/2021,2979.05772,1418.59893,492.846,197.1384
2/2/2021,2932.27434,1396.32114,487.29207,194.91681
2/3/2021,2904.5111699999998,1383.1005599999999,483.05757,193.22301
2/4/2021,2862.03459,1362.87363,476.21658,190.48665
2/5/2021,2850.38148,1357.3245299999999,473.2005300000001,189.28019999999998
2/6/2021,2815.73067,1340.82411,465.66914999999995,186.26769000000002
2/7/2021,2846.04126,1355.25774,470.70746999999994,188.28300000000002
2/8/2021,2840.00418,1352.3829600000001,469.82709,187.93086
2/9/2021,2855.8181999999997,1359.9134399999998,472.93730999999997,189.17493
2/10/2021,2887.4588400000002,1374.9804,479.38068,191.75226
2/11/2021,2883.9524699999997,1373.31069,479.00688,191.60274
2/12/2021,2947.3212599999997,1403.48631,488.67561,195.47024999999996
2/13/2021,2998.18638,1427.7078,497.69028000000003,199.07613
2/14/2021,3021.2883,1438.70874,502.47051,200.98821
2/15/2021,3055.75569,1455.12177,509.91792,203.96717999999998
2/16/2021,3061.2883199999997,1457.75634,512.16024,204.86408999999998
2/17/2021,3088.74714,1470.83196,519.73071,207.89228999999997
2/18/2021,3121.94706,1486.64145,525.29487,210.11793
2/19/2021,3177.6860699999997,1513.18386,535.96083,214.38434999999998
2/20/2021,3231.6156,1538.86458,545.43669,218.17470000000003
